No.,Time,Source,Destination,Protocol,Length,Info,,,,,,,,,,,,,,,,,,Time 2,Time 1,Delay,Delay 2,Delay 1,Jitter
2903,47.973551,172.217.27.3,192.168.43.163,TCP,54,443  >  51092 [ACK] Seq=3531 Ack=7038 Win=29408 Len=0,,,,,,,,,,,,,,,,,,48.242966,47.973551,0.269415,0.000225,0.26919,-0.268965
2906,48.242966,172.217.27.3,192.168.43.163,TLSv1.3,993,Application Data,,,,,,,,,,,,,,,,,,48.243191,48.242966,0.000225,0,0.000225,-0.000225
2907,48.243191,172.217.27.3,192.168.43.163,TLSv1.3,873,"Application Data, Application Data",,,,,,,,,,,,,,,,,,48.243191,48.243191,0,7.2E-05,-7.2E-05,0.000144
2908,48.243191,172.217.27.3,192.168.43.163,TLSv1.3,93,Application Data,,,,,,,,,,,,,,,,,,48.243263,48.243191,7.2E-05,4E-06,6.8E-05,-6.4E-05
2909,48.243263,192.168.43.163,172.217.27.3,TCP,54,51092  >  443 [ACK] Seq=7038 Ack=5328 Win=65800 Len=0,,,,,,,,,,,,,,,,,,48.243267,48.243263,4E-06,0.00127,-0.001266,0.002536
2910,48.243267,192.168.43.163,172.217.27.3,TCP,54,[TCP Dup ACK 2909#1] 51092  >  443 [ACK] Seq=7038 Ack=5328 Win=65800 Len=0,,,,,,,,,,,,,,,,,,48.244537,48.243267,0.00127,6E-06,0.001264,-0.001258
2911,48.244537,192.168.43.163,172.217.27.3,TLSv1.3,93,Application Data,,,,,,,,,,,,,,,,,,48.244543,48.244537,6E-06,0.032572,-0.032566,0.065138
2912,48.244543,192.168.43.163,172.217.27.3,TCP,93,"[TCP Retransmission] 51092  >  443 [PSH, ACK] Seq=7038 Ack=5328 Win=65800 Len=39",,,,,,,,,,,,,,,,,,48.277115,48.244543,0.032572,0.37561,-0.343038,0.718648
2913,48.277115,172.217.27.3,192.168.43.163,TCP,54,443  >  51092 [ACK] Seq=5328 Ack=7077 Win=29472 Len=0,,,,,,,,,,,,,,,,,,48.652725,48.277115,0.37561,5E-06,0.375605,-0.3756
2916,48.652725,192.168.43.163,77.234.45.63,TCP,54,"[TCP Retransmission] 51075  >  80 [FIN, ACK] Seq=1 Ack=1 Win=16422 Len=0",,,,,,,,,,,,,,,,,,48.65273,48.652725,5E-06,1.720085,-1.72008,3.440165
2917,48.65273,192.168.43.163,77.234.45.63,TCP,54,"[TCP Retransmission] 51075  >  80 [FIN, ACK] Seq=1 Ack=1 Win=16422 Len=0",,,,,,,,,,,,,,,,,,50.372815,48.65273,1.720085,1.3E-05,1.720072,-1.720059
2926,50.372815,192.168.43.163,77.234.45.63,TCP,54,"[TCP Retransmission] 51075  >  80 [FIN, ACK] Seq=1 Ack=1 Win=16422 Len=0",,,,,,,,,,,,,,,,,,50.372828,50.372815,1.3E-05,3.440072,-3.440059,6.880131
2927,50.372828,192.168.43.163,77.234.45.63,TCP,54,"[TCP Retransmission] 51075  >  80 [FIN, ACK] Seq=1 Ack=1 Win=16422 Len=0",,,,,,,,,,,,,,,,,,53.8129,50.372828,3.440072,9E-06,3.440063,-3.440054
2940,53.8129,192.168.43.163,77.234.45.63,TCP,54,"[TCP Retransmission] 51075  >  80 [FIN, ACK] Seq=1 Ack=1 Win=16422 Len=0",,,,,,,,,,,,,,,,,,53.812909,53.8129,9E-06,6.880203,-6.880194,13.760397
2941,53.812909,192.168.43.163,77.234.45.63,TCP,54,"[TCP Retransmission] 51075  >  80 [FIN, ACK] Seq=1 Ack=1 Win=16422 Len=0",,,,,,,,,,,,,,,,,,60.693112,53.812909,6.880203,,6.880203,
2962,60.693112,192.168.43.163,77.234.45.63,TCP,54,"[TCP Retransmission] 51075  >  80 [FIN, ACK] Seq=1 Ack=1 Win=16422 Len=0",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,total delay,25.142241,,total jitter,32.022422
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,rata2 delay,0.008491132,,Rata-rata Jitter,0.010814732
